TABLE 1 - MODELS SCOUTED
"Make","Model","Trim","MSRP","Freight+PDI+AC","Advertised","Dealer admin","OUT THE DOOR","Rate %","Rate source","Term mo","Down","Monthly","Dep %/yr","L/100km","Notes"
"Lexus","TX 350","Luxury (base pkg)","69855","2305","72160","2334","84373","2.9","QUOTED - Lexus on the Park finance worksheet 2026-09-02, 'special rate', 60 mo","60","15000","1243.47","8","11.5","Their worksheet totals $86,611 OTD: sell $73,258 (Lexus Canada 'from' price, freight already in) + $870 freight AGAIN + $2,334 dealer fees. About $2.7K above this row. Ask why freight is charged twice."
"Lexus","TX 350","Ultra Luxury","72608","2305","74913","2334","87484","2.9","QUOTED - same rate applies to all new TX 350","60","15000","1299.23","8","11.5","Ultra Luxury = +$2,753 over Luxury. Advertised $74,913 matches 4 live listings."
"Lexus","TX 350","Executive 7-Pass","80861","2305","83166","2334","96810","2.9","QUOTED - finance; lease worksheet showed 1.9%/48 with $4,200 off","60","15000","1466.39","8","11.5","Executive = +$11,006 over Luxury. Lease sheet: $939/mo, 24,000 km/yr, residual 42%."
"Lexus","TX 500h","F SPORT Performance 2","85400","2305","87705","2334","101939","5.5","PUBLISHED - Don Valley North Lexus, 60 mo (lease 5.9%/24, Lexus Canada 6.7%/48)","60","15000","1660.64","8","8.6","Only 2 new 500h in Ontario ($90,225 / $93,704 - both ABOVE the $87,705 sticker). 366 hp."
"Toyota","Grand Highlander","HYBRID XLE (2.5L NA)","56632","2030","58662","495","67043","6.99","ASSUMED = Toyota Canada published LEASE rate 6.99%/60; finance rate NOT obtained","60","15000","1030.26","8","6.8","Toyota Canada all-in FROM $58,661.92. The 10-year-hold pick. NOT the turbo."
"Toyota","Grand Highlander","HYBRID Limited (2.5L NA)","63967","2030","65997","495","75331","6.99","ASSUMED - see above","60","15000","1194.34","8","6.8","Toyota Canada all-in FROM $65,996.92."
"Toyota","Grand Highlander","Platinum HYBRID MAX (2.4 TURBO)","68227","2030","70257","495","80145","6.99","ASSUMED - see above","60","15000","1289.64","8","8.6","Toyota Canada all-in FROM $70,256.92. Turbo - reintroduces the failure modes you are avoiding."
"Toyota","Grand Highlander","XLE (gas 2.4T)","53232","2030","55262","495","63201","6.99","ASSUMED - see above","60","15000","954.2","8","9.5","Toyota Canada all-in FROM $55,261.92."
"Toyota","Highlander","HYBRID XLE (2.5L NA)","","","61687","495","70461","6.99","ASSUMED - finance rate not obtained","60","15000","1097.93","8","6.7","Factory-order listing price; official MSRP not pulled. Smaller 3rd row than Grand Highlander."
"Toyota","Highlander","HYBRID Limited (2.5L NA)","","","67067","495","76540","6.99","ASSUMED - finance rate not obtained","60","15000","1218.28","8","6.7","Factory-order listing price."
"Hyundai","Palisade Hybrid","Ultimate Calligraphy (2.5T hybrid), 2027","","","69099","495","78836","6.99","NOT OBTAINED - assumed 6.99%; ask Hamilton Hyundai","60","15000","1263.74","10","8.1","329 hp / 339 lb-ft. Brown Nappa interior: 2 confirmed in Ontario, both Hamilton Hyundai, ETA late Oct."
"Hyundai","Palisade Hybrid","Ultimate Calligraphy, 2026 (new, last year's MY)","","","66976","495","76437","6.99","NOT OBTAINED - assumed 6.99%","60","15000","1216.24","10","8.1","Silver, 25 km, listed at MSRP. $2,123 under the 2027."
"Hyundai","Palisade","Ultimate Calligraphy (gas 3.8 V6)","","","","495","","","not priced new in this scan","","15000","","10","11.9","Scouted USED only (Clutch). Oil-consumption + transmission risk at high km."
"Genesis","GV80","3.5T Prestige 7-Pass","","","96888","1540","111419","2.99","SEEN on a Genesis Yorkdale listing ('as low as 2.99%') - CPO car; CONFIRM for new","60","15000","1732.09","15","11.5","Lowest-km franchise 2026 observed; official MSRP not verified. WORST depreciation measured (15%/yr top trim)."
"Mitsubishi","Outlander PHEV","SEL","59823","0","55573","495","63552","6.99","NOT OBTAINED - assumed 6.99%","60","15000","961.16","18","3.2","MSRP printed on listing; $4,250 off. 72 km EV range; 8.6 L/100km once flat. 10yr/160,000km powertrain."
"Mitsubishi","Outlander PHEV","GT","63423","0","59173","495","67620","6.99","NOT OBTAINED - assumed 6.99%","60","15000","1041.69","18","3.2","$4,250 off MSRP. Best warranty in this set."
"Mitsubishi","Outlander PHEV","GT Premium","64523","0","60273","495","68863","6.99","NOT OBTAINED - assumed 6.99%","60","15000","1066.3","18","3.2","297 hp, massage seats, semi-aniline (black only)."
"Tesla","Model Y","Long Range AWD (new)","","","64990","0","73634","6.99","NOT OBTAINED - Tesla finance; assumed 6.99%","60","15000","1160.74","14","","Tesla configurator, gas-savings box UNCHECKED. 5 SEATS. FSD is $99/mo subscription only since 2026-02-14."
"Volvo","XC90","B6 Ultra","","","","495","","","scouted USED only","","15000","","11","10.4","4yr/80,000km warranty = 1.9 yr at your mileage. Highest maintenance here (~$1,248/yr)."
"Porsche","Macan","base 2.0T / S","","","","495","","","scouted USED only (Porsche Approved)","","15000","","11","11.2","9 service visits in 5 yr at your mileage; 5 seats."


TABLE 2 - LIVE INVENTORY (103 vehicles)
"Make","Model","Trim","Year","Asking","MSRP","MSRP source","Odometer km","Status","Seller","Link","Scan"
"Lexus","TX 350","Ultra Luxury","2025","71995","74913","current-MY equivalent: $69,855 + $2,753 Ultra + $2,305 (matches 4 live listings)","1200","used / silver","Ontario Lexus dealer","https://www.autotrader.ca/offers/lexus-tx-ultra-luxury-gasoline-silver-cat_ma43gr202144mt12047-6c51b734-26b5-4b9c-803b-7a0885792726","Lexus TX scan 09-02"
"Lexus","TX 350","Luxury","2026","72208","72160","current-MY equivalent: $69,855 Luxury + $2,305 (Lexus of Vaughan)","35","NEW / silver","Lexus on the Park, Toronto","https://www.autotrader.ca/offers/lexus-tx-350-luxury-awd-gasoline-silver-cat_ma43gr202144-9f714381-36fd-4d55-8ac8-59355fd6d411","Lexus TX scan 09-02"
"Lexus","TX 500h","F Sport","2024","70995","87705","TX 500h F SPORT 2 sticker: $85,400 + $2,205 freight + $100 AC (Lexus of Vaughan)","58747","used / white","Ontario dealer","https://www.autotrader.ca/offers/lexus-tx-500h-f-sport-3-toit-pano-mark-levinson-navi-gas-electric-hybrid-white-cat_ma43gr202144mt12048-983bed37-a64d-4f8f-aea3-ac77cbed45a1","Lexus TX scan 09-02"
"Lexus","TX 500h","F Sport","2025","74990","87705","TX 500h F SPORT 2 sticker: $85,400 + $2,205 freight + $100 AC (Lexus of Vaughan)","27710","used / Lexus Certified / silver","Ontario Lexus dealer","https://www.autotrader.ca/offers/lexus-tx-500h-f-sport-3-like-new-gas-electric-hybrid-silver-cat_ma43gr202144mt12048-16aa8d2f-83e0-400e-9ef6-c27f55d19ee6","Lexus TX scan 09-02"
"Lexus","TX 500h","F Sport","2025","77995","87705","TX 500h F SPORT 2 sticker: $85,400 + $2,205 freight + $100 AC (Lexus of Vaughan)","5770","used / Lexus Certified / grey","Brampton","https://www.autotrader.ca/offers/lexus-tx-500h-f-sport-awd-navi-pano-roof-apple-carplay-gas-electric-hybrid-grey-cat_ma43gr202144mt12048-947adc0b-0f53-471e-abd9-7bbc5bdb79f7","Lexus TX scan 09-02"
"Mitsubishi","Outlander PHEV","SEL","2026","55573","59823","printed on the AutoTrader card","0","NEW / $4,250 off MSRP / silver","","https://www.autotrader.ca/offers/mitsubishi-outlander-sel-phev-72-km-ev-range-ventilated-seats-gas-electric-hybrid-silver-cat_ma50gr201018va1568tr14384-21ec3801-1382-49a6-bf0e-59d80412417f","Outlander PHEV scan 09-01"
"Mitsubishi","Outlander PHEV","SEL","2026","55723","59973","printed on the AutoTrader card","0","NEW / $4,250 off MSRP / blue","","https://www.autotrader.ca/offers/mitsubishi-outlander-sel-phev-72-km-ev-range-vented-seats-360-cam-gas-electric-hybrid-blue-cat_ma50gr201018va1568tr14384-94f2be41-56f4-45cb-8034-e9c81674f936","Outlander PHEV scan 09-01"
"Mitsubishi","Outlander PHEV","GT","2026","59173","63423","printed on the AutoTrader card","0","NEW / $4,250 off MSRP / grey","","https://www.autotrader.ca/offers/mitsubishi-outlander-gt-phev-72-km-ev-range-hud-yamaha-ultimate-gas-electric-hybrid-grey-cat_ma50gr201018va1568tr11934-1ea7ff95-1226-4ec7-acab-b28fc4abeefd","Outlander PHEV scan 09-01"
"Mitsubishi","Outlander PHEV","GT","2026","59473","63723","printed on the AutoTrader card","0","NEW / $4,250 off MSRP / red","","https://www.autotrader.ca/offers/mitsubishi-outlander-gt-phev-s-awc-72-km-ev-range-hud-gas-electric-hybrid-red-cat_ma50gr201018va1568tr11934-b32900ca-216c-4e61-81df-a2fd5a581e8d","Outlander PHEV scan 09-01"
"Mitsubishi","Outlander PHEV","GT","2026","59523","63023","printed on the AutoTrader card","0","NEW / $3,500 off MSRP / grey","","https://www.autotrader.ca/offers/mitsubishi-outlander-gt-s-awc-gas-electric-hybrid-grey-cat_ma50gr201018va1568tr11934-0a04dc83-df59-4b93-be87-9311b0812d57","Outlander PHEV scan 09-01"
"Mitsubishi","Outlander PHEV","GT Premium","2026","60273","64523","printed on the AutoTrader card","0","NEW / $4,250 off MSRP / grey","","https://www.autotrader.ca/offers/mitsubishi-outlander-gt-premium-phev-297-hp-massage-seats-hud-gas-electric-hybrid-grey-cat_ma50gr201018va1568tr11934-9f9ad730-12f9-4a25-9a8b-aa66c70e20af","Outlander PHEV scan 09-01"
"Mitsubishi","Outlander PHEV","GT","2026","60323","63823","printed on the AutoTrader card","0","NEW / $3,500 off MSRP / blue","","https://www.autotrader.ca/offers/mitsubishi-outlander-gt-s-awc-electric-blue-cat_ma50gr201018va1568tr11934-3d6527b2-1669-4904-987d-ed5d5e1daa85","Outlander PHEV scan 09-01"
"Mitsubishi","Outlander PHEV","GT NOIR","2026","61973","65473","printed on the AutoTrader card","0","NEW / $3,500 off MSRP / black","","https://www.autotrader.ca/offers/mitsubishi-outlander-gt-noir-s-awc-gas-electric-hybrid-black-cat_ma50gr201018va1568tr14373-1174273a-6504-497e-aef3-9505ac7e8d9d","Outlander PHEV scan 09-01"
"Tesla","Model Y","Long Range AWD","2023","44790","64990","current Tesla configurator, LR AWD, incentives unchecked","44242","check / clutch / unknown / not stated / 5 SEATS","Clutch.ca","https://www.clutch.ca/vehicles/125667","Model Y scan 09-01"
"Tesla","Model Y","Long Range AWD","2023","45690","64990","current Tesla configurator, LR AWD, incentives unchecked","53558","check / clutch / unknown / not stated / 5 SEATS","Clutch.ca","https://www.clutch.ca/vehicles/122700","Model Y scan 09-01"
"Tesla","Model Y","Long Range AWD","2022","45998","64990","current Tesla configurator, LR AWD, incentives unchecked","27681","HW3 / franchise / white / clean Carfax claimed / 5 SEATS","AutoTrader dealer","https://www.autotrader.ca/offers/tesla-model-y-long-range-awd-clean-carfax-electric-white-cat_ma51520gr201431tr15328-9eb85639-282c-4c63-9715-cbd1fd9ec0cb","Model Y scan 09-01"
"Tesla","Model Y","Long Range AWD","2023","49999","64990","current Tesla configurator, LR AWD, incentives unchecked","33025","check / franchise / white / not stated / 5 SEATS","AutoTrader dealer","https://www.autotrader.ca/offers/tesla-model-y-long-range-electric-white-cat_ma51520gr201431tr15328-23795d1c-987e-43b4-960f-cc7909b5ebe6","Model Y scan 09-01"
"Tesla","Model Y","Long Range Dual Motor AWD","2024","51999","64990","current Tesla configurator, LR AWD, incentives unchecked","63675","HW4 / franchise / blue / not stated / 5 SEATS","AutoTrader dealer","https://www.autotrader.ca/offers/tesla-model-y-long-range-dual-motor-awd-electric-blue-cat_ma51520gr201431tr15328-82eeee0b-dc1b-4fe3-87b5-80a1ac6f8459","Model Y scan 09-01"
"Tesla","Model Y","Long Range AWD","2024","54798","64990","current Tesla configurator, LR AWD, incentives unchecked","35490","HW4 / crossbrand / blue / not stated / 5 SEATS","Parkway Nissan, Hamilton","https://www.autotrader.ca/offers/tesla-model-y-long-range-electric-blue-cat_ma51520gr201431tr15328-02e7482d-8df1-4ab2-91d3-f789f31b0486","Model Y scan 09-01"
"Tesla","Model Y","Performance AWD","2025","59500","","Performance not priced","19500","HW4 / private / white / not stated / 5 SEATS","Private Seller, Caledon Village","https://www.autotrader.ca/offers/tesla-model-y-performance-electric-white-cat_ma51520gr201431-4e3f9f75-23d7-428f-bac0-d7b93638477b","Model Y scan 09-01"
"Toyota","Grand Highlander","Hybrid XLE AWD","2024","45998","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","129233","used / 2.5L NA hybrid / black","","https://www.autotrader.ca/offers/toyota-grand-highlander-hybrid-xle-awd-gas-electric-hybrid-black-cat_ma70gr202248va2866tr17571-f07ed02a-7a46-4cfa-9b35-02d123ddf62a","Toyota scan 09-02"
"Toyota","Grand Highlander","Hybrid XLE AWD, leather","2025","51499","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","100593","used / 2.5L NA hybrid / blue","","https://www.autotrader.ca/offers/toyota-grand-highlander-hybrid-xle-awd-leather-safety-sense-alloys-gas-electric-hybrid-blue-cat_ma70gr202248va2866tr17571-286eccc7-eed7-4418-b10f-1aac6e69126a","Toyota scan 09-02"
"Toyota","Grand Highlander","XLE AWD 8-seater","2025","55995","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","90705","used / 2.5L NA hybrid / black","","https://www.autotrader.ca/offers/toyota-grand-highlander-xle-awd-8-seater-back-up-cam-toyota-safety-sense-gas-electric-hybrid-black-cat_ma70gr202248va2866tr17571-edc597a2-da97-432f-b311-226539d44735","Toyota scan 09-02"
"Toyota","Grand Highlander","Hybrid","2026","58288","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","64015","used / 2.5L NA hybrid / white","","https://www.autotrader.ca/offers/toyota-grand-highlander-gas-electric-hybrid-white-cat_ma70gr202248va2866-9560bf3c-891d-4697-a7f7-f0fbbe7ba663","Toyota scan 09-02"
"Toyota","Grand Highlander","Hybrid Limited AWD, Toyota Certified","2025","58500","65997","Toyota Canada Build & Price all-in FROM (Hybrid Limited)","84414","used / 2.5L NA hybrid / white","","https://www.autotrader.ca/offers/toyota-grand-highlander-hybrid-limited-awd-toyota-certified-gas-electric-hybrid-white-cat_ma70gr202248va2866tr16983-fa2f8454-ce79-4af9-a380-05607bdf4ba7","Toyota scan 09-02"
"Toyota","Grand Highlander","Hybrid XLE AWD, leather","2024","58600","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","17925","used / 2.5L NA hybrid / black","","https://www.autotrader.ca/offers/toyota-grand-highlander-hybrid-xle-awd-lthr-only-17-000kms-gas-electric-hybrid-black-cat_ma70gr202248va2866tr17571-507e4c66-18f5-46d1-8fc9-7bd75d04cbff","Toyota scan 09-02"
"Toyota","Grand Highlander","Hybrid XLE AWD","2024","58998","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","36599","used / 2.5L NA hybrid / white","","https://www.autotrader.ca/offers/toyota-grand-highlander-hybrid-xle-awd-gas-electric-hybrid-white-cat_ma70gr202248va2866tr17571-dd02d924-5624-4b43-a5e8-bc5212101694","Toyota scan 09-02"
"Toyota","Grand Highlander","XLE","2026","61914","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","10","NEW / 2.5L NA hybrid / silver","","https://www.autotrader.ca/offers/toyota-grand-highlander-xle-gas-electric-hybrid-silver-cat_ma70gr202248va2866-39d24969-96c0-4d5e-aa75-a2c3a240eceb","Toyota scan 09-02"
"Toyota","Grand Highlander","XLE AWD","2025","61988","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","20005","used / 2.5L NA hybrid / blue","","https://www.autotrader.ca/offers/toyota-grand-highlander-xle-awd-finance-price-advertised-wireless-carpla-gas-electric-hybrid-blue-cat_ma70gr202248va2866tr17571-2a57bfe5-af70-4cee-b5ff-2451ab05bb51","Toyota scan 09-02"
"Toyota","Grand Highlander","Hybrid XLE","2026","62417","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","0","NEW / 2.5L NA hybrid / white","","https://www.autotrader.ca/offers/toyota-grand-highlander-hybrid-xle-factory-order-gas-electric-hybrid-white-cat_ma70gr202248va2866tr17571-4ff02eaa-300a-4535-9d3b-9616465bf58a","Toyota scan 09-02"
"Toyota","Grand Highlander","XLE, leather + sunroof","2025","64495","58662","Toyota Canada Build & Price all-in FROM (Hybrid XLE)","20758","used / 2.5L NA hybrid / silver","","https://www.autotrader.ca/offers/toyota-grand-highlander-xle-leather-sunroof-alloys-gas-electric-hybrid-silver-cat_ma70gr202248va2866tr17571-7c5d7b21-cf33-47f3-9f12-8742f279f1e2","Toyota scan 09-02"
"Toyota","Grand Highlander","Hybrid Limited","2026","69752","65997","Toyota Canada Build & Price all-in FROM (Hybrid Limited)","0","NEW / 2.5L NA hybrid / white","","https://www.autotrader.ca/offers/toyota-grand-highlander-hybrid-limited-factory-order-gas-electric-hybrid-white-cat_ma70gr202248va2866tr16983-ddfc780e-6d7f-4bf3-a4b2-540f27e5d599","Toyota scan 09-02"
"Toyota","Grand Highlander","Limited","2026","70599","65997","Toyota Canada Build & Price all-in FROM (Hybrid Limited)","10","NEW / 2.5L NA hybrid / grey","","https://www.autotrader.ca/offers/toyota-grand-highlander-limited-gas-electric-hybrid-grey-cat_ma70gr202248va2866tr16983-8cc3f8eb-793e-4308-9379-f78eb785f0a5","Toyota scan 09-02"
"Toyota","Grand Highlander","Hybrid MAX Platinum","2026","73992","70257","Toyota Canada Build & Price all-in FROM (Platinum Hybrid MAX)","0","NEW / HYBRID MAX (2.4 turbo) / grey","","https://www.autotrader.ca/offers/toyota-grand-highlander-hybrid-max-platinum-factory-order-gas-electric-hybrid-grey-cat_ma70gr202248va2866tr479020-9251cf14-9cb5-4bf2-bf1d-e0dd16eb070f","Toyota scan 09-02"
"Toyota","Grand Highlander","Platinum MAX, moonroof, 7-seat","2026","84990","70257","Toyota Canada Build & Price all-in FROM (Platinum Hybrid MAX)","50","NEW / HYBRID MAX (2.4 turbo) / grey","","https://www.autotrader.ca/offers/toyota-grand-highlander-platinum-max-clean-carfax-moonroof-7-seaters-gas-electric-hybrid-grey-cat_ma70gr202248va2866tr479020-b329ccfd-7007-4e6b-9269-cebc03bfd3b2","Toyota scan 09-02"
"Toyota","Grand Highlander","Platinum MAX, moonroof, 7-seat","2026","84990","70257","Toyota Canada Build & Price all-in FROM (Platinum Hybrid MAX)","100","NEW / HYBRID MAX (2.4 turbo) / white","","https://www.autotrader.ca/offers/toyota-grand-highlander-platinum-max-clean-carfax-moonroof-7-seaters-gas-electric-hybrid-white-cat_ma70gr202248va2866tr479020-181a33e8-50ac-45f3-9e45-4b2914253f80","Toyota scan 09-02"
"Toyota","Highlander","Hybrid XLE, no accidents","2024","49500","","Highlander MSRP not pulled","64488","used / 2.5L NA hybrid / blue","","https://www.autotrader.ca/offers/toyota-highlander-hybrid-xle-no-accident-hybrid-save-gas-clean-gas-electric-hybrid-blue-cat_ma70gr201461va2512tr15456-6258d6e0-367e-425a-9e99-270e0a7b2d34","Toyota scan 09-02"
"Toyota","Highlander","Hybrid XLE, one owner, no accidents","2024","51988","","Highlander MSRP not pulled","55976","used / 2.5L NA hybrid / black","","https://www.autotrader.ca/offers/toyota-highlander-hybrid-xle-one-owner-no-accidents-aucun-accident-gas-electric-hybrid-black-cat_ma70gr201461va2512tr15456-9c75bfa0-ac64-4ed5-94a5-611795a7e92a","Toyota scan 09-02"
"Toyota","Highlander","Hybrid XLE AWD, accident free","2025","53077","","Highlander MSRP not pulled","60501","used / 2.5L NA hybrid / white","","https://www.autotrader.ca/offers/toyota-highlander-hybrid-xle-awd-accident-free-leather-sunro-gas-electric-hybrid-white-cat_ma70gr201461va2512tr15456-10f6e3ff-213b-45ab-984a-f95af3688f46","Toyota scan 09-02"
"Toyota","Highlander","Hybrid LE, Toyota Certified","2025","55500","","Highlander MSRP not pulled","20227","used / 2.5L NA hybrid / grey","","https://www.autotrader.ca/offers/toyota-highlander-hybrid-le-toyota-certified-gas-electric-hybrid-grey-cat_ma70gr201461va2512tr11925-c59b7632-ce58-4ee2-95b5-d8f8559d6f73","Toyota scan 09-02"
"Toyota","Highlander","Hybrid Limited","2024","56750","","Highlander MSRP not pulled","55392","used / 2.5L NA hybrid / n/a","","https://www.autotrader.ca/offers/toyota-highlander-hybrid-limited-gas-electric-hybrid-cat_ma70gr201461va2512tr11813-e83cf4f9-da11-4751-a600-1ea966e2d6f2","Toyota scan 09-02"
"Toyota","Highlander","Hybrid XLE","2025","56900","","Highlander MSRP not pulled","21809","used / 2.5L NA hybrid / grey","","https://www.autotrader.ca/offers/toyota-highlander-xle-gas-electric-hybrid-grey-cat_ma70gr201461va2512tr15456-1c0e70ae-3945-4d2c-b7ab-e2e1fcf1e83b","Toyota scan 09-02"
"Toyota","Highlander","Hybrid XLE Nightshade","2025","57583","","Highlander MSRP not pulled","24580","used / 2.5L NA hybrid / grey","","https://www.autotrader.ca/offers/toyota-highlander-xle-rare-nightshade-edition-cement-colour-gas-electric-hybrid-grey-cat_ma70gr201461va2512tr15456-bf07a127-e9e9-4dd7-9ca6-6f8a6f72ae2a","Toyota scan 09-02"
"Toyota","Highlander","Hybrid Limited AWD","2025","60990","","Highlander MSRP not pulled","41757","used / 2.5L NA hybrid / grey","","https://www.autotrader.ca/offers/toyota-highlander-limited-awd-leather-sunroof-bluetooth-gas-electric-hybrid-grey-cat_ma70gr201461va2512tr11813-facf74bb-d688-47c1-8dd3-18cdbab0ce92","Toyota scan 09-02"
"Toyota","Highlander","Hybrid XLE","2026","61687","","Highlander MSRP not pulled","0","NEW / 2.5L NA hybrid / blue","","https://www.autotrader.ca/offers/toyota-highlander-xle-factory-order-gas-electric-hybrid-blue-cat_ma70gr201461va2512tr15456-7f1fe95a-0da6-4171-ba18-16de1a6a59a0","Toyota scan 09-02"
"Toyota","Highlander","Hybrid Limited, one owner, no accidents","2024","62888","","Highlander MSRP not pulled","15282","used / 2.5L NA hybrid / silver","","https://www.autotrader.ca/offers/toyota-highlander-hybrid-limited-one-owner-no-accidents-aucun-acci-gas-electric-hybrid-silver-cat_ma70gr201461va2512tr11813-2a916919-da53-4fae-80e5-2851e40c0817","Toyota scan 09-02"
"Toyota","Highlander","Hybrid Limited AWD, pano roof","2025","63995","","Highlander MSRP not pulled","21488","used / 2.5L NA hybrid / blue","","https://www.autotrader.ca/offers/toyota-highlander-hybrid-limited-awd-pano-roof-navi-wireless-gas-electric-hybrid-blue-cat_ma70gr201461va2512tr11813-72679027-064c-4923-b425-d23d22b44ca9","Toyota scan 09-02"
"Toyota","Highlander","Hybrid Limited AWD","2026","65431","","Highlander MSRP not pulled","0","NEW / 2.5L NA hybrid / white","","https://www.autotrader.ca/offers/toyota-highlander-hybrid-limited-awd-incoming-unit-gas-electric-hybrid-white-cat_ma70gr201461va2512tr11813-1232470e-7973-4aee-b2d6-1e2c155b8b1a","Toyota scan 09-02"
"Toyota","Highlander","Hybrid Limited","2026","67067","","Highlander MSRP not pulled","0","NEW / 2.5L NA hybrid / white","","https://www.autotrader.ca/offers/toyota-highlander-limited-factory-order-gas-electric-hybrid-white-cat_ma70gr201461va2512tr11813-a369e150-57e7-472e-9663-a548502b1029","Toyota scan 09-02"
"Volvo","XC90","T6 Inscription","2018","26190","","XC90 MSRP not pulled","84845","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/122735","Clutch.ca scan 09-01"
"Volvo","XC90","T5 Momentum 7-Seater","2021","30590","","XC90 MSRP not pulled","85572","Clutch.ca - no doc/admin fees / 7 seats / NOT premium / pano","Clutch.ca","https://www.clutch.ca/vehicles/118204","Clutch.ca scan 09-01"
"Volvo","XC90","T6 Momentum 6-Seater","2021","34690","","XC90 MSRP not pulled","88293","Clutch.ca - no doc/admin fees / 6 seats / NOT premium / pano","Clutch.ca","https://www.clutch.ca/vehicles/120829","Clutch.ca scan 09-01"
"Volvo","XC90","T6 Inscription 7-Seater","2022","45390","","XC90 MSRP not pulled","55665","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/111329","Clutch.ca scan 09-01"
"Volvo","XC90","B6 Ultra Bright Theme 7-Seater","2025","69990","","XC90 MSRP not pulled","22000","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/123896","Clutch.ca scan 09-01"
